SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
1B,WR,N,186142508,GWCS,5550,3,S,A,U,9,9,6,0,0,2,0,0,1,0,71,24.1,300,9/22/11,113,BLCA,5,F,,,,
1B,WR,N,186142509,GWCS,5550,3,S,A,U,9,9,6,0,0,3,0,0,1,0,76,24.4,300,9/22/11,125,BLCA,9,F,,,,
1B,WR,N,186142510,GWCS,5550,3,S,A,U,9,9,6,0,0,3,0,0,1,0,76,26.7,300,9/29/11,81,BLCA,5,F,,,,
1B,WR,N,186142511,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,9,0,74,23.4,300,9/29/11,84,BLCA,9,F,,,,
1B,WR,N,186142512,GWCS,5550,3,A,9,U,9,9,9,0,0,1,0,0,9,0,77,24.9,300,9/29/11,84,BLCA,9,F,,,,
1B,WR,N,186142513,GWCS,5550,2,H,9,U,9,9,9,0,0,2,0,0,9,0,76,26.3,300,9/29/11,84,BLCA,9,F,,,,
1B,WR,N,186142514,GWCS,5550,2,H,9,F,W,9,9,0,0,4,0,0,9,0,72,26.7,300,9/29/11,84,BLCA,9,F,,,,
1B,WR,N,186142515,GWCS,5550,2,H,9,F,W,9,9,0,0,2,0,0,9,0,72,21.2,300,9/29/11,84,BLCA,9,F,,,,
1B,WR,N,186142516,GWCS,5550,2,H,9,F,W,9,9,0,0,3,0,0,9,0,71,23.2,300,9/29/11,84,BLCA,9,F,,,,
1B,WR,N,186142517,GWCS,5550,2,H,9,F,W,9,9,0,0,2,0,0,9,0,71,23.1,300,9/29/11,84,BLCA,9,F,,,,
1B,WR,N,186142518,GWCS,5550,2,A,9,U,9,9,9,0,0,0,0,0,9,0,78,22.5,300,9/29/11,84,BLCA,7,F,,,,
1B,WR,N,186142519,GWCS,5550,3,A,9,F,W,9,9,0,0,2,0,0,9,0,72,21,300,9/29/11,84,BLCA,7,F,,,,
1B,WR,N,186142520,GWCS,5550,3,A,9,U,9,9,9,0,0,3,0,0,9,0,75,25.1,300,9/29/11,84,BLCA,8,F,,,,
1B,WR,N,186142521,GWCS,5550,3,A,9,U,9,9,9,0,0,3,0,0,9,0,74,23.8,300,9/29/11,84,BLCA,8,F,,,,
1B,WR,N,186142522,GWCS,5550,2,H,9,F,W,9,9,0,0,1,0,0,9,0,71,23.5,300,9/29/11,85,BLCA,8,F,,,,
1B,WR,N,186142523,GWCS,5550,3,S,A,U,9,9,6,0,0,0,0,0,1,0,77,23.8,300,9/29/11,92,BLCA,9,F,,,,
1B,WR,N,186142524,GCSP,5570,2,S,H,U,9,9,3,0,0,1,0,0,1,0,76,26.4,300,9/29/11,92,BLCA,5,F,,,,
