SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NOTE
0,WR,N,272065046,ORJU,5671,3,A,M,F,A,B,6,3,0,2,1,F,2,1,72,17,300,8/16/13,85,COCA,9,F,
0,WR,N,272065047,ORJU,5671,2,S,9,U,9,9,9,0,0,2,1,0,1,0,72,18.1,300,8/16/13,105,COCA,4,F,
0,WR,N,272065048,ORJU,5671,2,S,9,U,9,9,9,0,0,1,2,0,1,0,76,18.8,300,8/16/13,105,COCA,9,F,
0,WR,N,272065049,ORJU,5671,2,S,9,U,9,9,9,0,0,2,2,0,1,0,76,19.2,300,8/16/13,105,COCA,9,F,
0,WR,N,272065050,ORJU,5671,2,S,9,U,9,9,9,0,0,2,2,0,1,0,68,17.6,300,8/16/13,105,COCA,9,T,
0,WR,N,272065051,ORJU,5671,2,S,9,U,9,9,9,0,0,1,1,0,1,0,75,17.8,300,8/16/13,105,COCA,9,F,
0,WR,N,272065052,ORJU,5671,2,S,9,U,9,9,9,0,0,2,1,0,1,0,71,17.4,300,8/16/13,105,COCA,9,F,
0,WR,N,272065053,ORJU,5671,2,S,9,U,9,9,9,0,0,2,1,0,1,0,999,16.1,300,8/16/13,115,COCA,2,F,
0,WR,N,272065054,ORJU,5671,2,S,9,U,9,9,9,0,0,1,1,0,1,0,999,15.9,300,8/16/13,115,COCA,2,F,
0,WR,N,272065055,AUWA,6560,2,S,J,U,9,9,2,0,0,1,2,0,1,0,75,11.4,300,8/21/13,104,COCA,6,F,
0,WR,N,272065056,ORJU,5671,2,S,J,U,9,9,2,0,0,2,0,0,1,0,70,17.9,300,8/21/13,104,COCA,3,F,
0,WR,N,272065057,AUWA,6560,2,S,J,U,9,9,2,0,0,1,2,0,1,0,75,12.2,300,8/21/13,104,COCA,6,F,
